trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
174,False,"{'a': 0.001, 'e': 0.9852259683067269}",30,3,-109.54342012132857,"{0: 18, 1: 3, 2: 4, 3: 0, 4: 2}",1
175,False,"{'a': 0.001, 'e': 0.9847328461196255}",25,0,-91.19442596751918,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
176,False,"{'a': 0.001, 'e': 0.9842235282446181}",25,0,-129.00808675519573,"{0: 13, 1: 3, 2: 7, 3: 1, 4: 1}",0
177,False,"{'a': 0.001, 'e': 0.9836975006285591}",30,0,-158.5050632805089,"{0: 18, 1: 2, 2: 7, 3: 1, 4: 2}",0
178,False,"{'a': 0.001, 'e': 0.9831542341120191}",30,0,-160.1912181465674,"{0: 18, 1: 4, 2: 4, 3: 2, 4: 2}",0
179,False,"{'a': 0.001, 'e': 0.9825931840680038}",20,13,-43.79387161302306,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 1}",1
180,False,"{'a': 0.001, 'e': 0.9820137900379085}",25,0,-138.19921667472877,"{0: 16, 1: 1, 2: 5, 3: 1, 4: 2}",0
181,False,"{'a': 0.001, 'e': 0.9814154753651784}",20,0,-66.30955010858622,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
182,False,"{'a': 0.001, 'e': 0.9807976468271907}",25,0,-88.8203896667075,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
183,False,"{'a': 0.001, 'e': 0.9801596942659225}",20,0,-48.35450869259093,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
184,False,"{'a': 0.001, 'e': 0.9795009902180184}",20,0,-91.13654464026651,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
185,False,"{'a': 0.001, 'e': 0.9788208895449324}",20,6,-14.97532745552929,"{0: 11, 1: 1, 2: 1, 3: 1, 4: 0}",1
186,False,"{'a': 0.001, 'e': 0.9781187290638694}",20,0,-125.54019483299166,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
187,False,"{'a': 0.001, 'e': 0.9773938271803176}",20,0,-221.8438225182664,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 5}",0
188,False,"{'a': 0.001, 'e': 0.9766454835230229}",20,0,-128.11749958463946,"{0: 10, 1: 2, 2: 5, 3: 2, 4: 1}",0
189,False,"{'a': 0.001, 'e': 0.9758729785823308}",20,0,-88.10420357095285,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
190,False,"{'a': 0.001, 'e': 0.975075573352886}",25,0,-165.31736792808232,"{0: 10, 1: 3, 2: 7, 3: 5, 4: 0}",0
191,False,"{'a': 0.001, 'e': 0.9742525089817571}",25,0,-103.30666534303496,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
192,False,"{'a': 0.001, 'e': 0.973403006423134}",25,0,-70.20109404029044,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
193,False,"{'a': 0.001, 'e': 0.9725262661008247}",20,0,-112.55275509451509,"{0: 13, 1: 1, 2: 2, 3: 3, 4: 1}",0
194,False,"{'a': 0.001, 'e': 0.9716214675798642}",25,15,3.7870435320484677,"{0: 8, 1: 2, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.001, 'e': 0.9706877692486436}",20,0,-89.32190134871543,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
196,False,"{'a': 0.001, 'e': 0.9697243080130495}",25,0,-93.20736244316161,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 2}",0
197,False,"{'a': 0.001, 'e': 0.9687301990042113}",20,0,-111.07977955330024,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
198,False,"{'a': 0.001, 'e': 0.9677045353015495}",20,0,-137.92060958067165,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
199,False,"{'a': 0.001, 'e': 0.9666463876729245}",20,0,-97.62254488156664,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
200,False,"{'a': 0.001, 'e': 0.9655548043337887}",20,0,-111.64976282062405,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
201,False,"{'a': 0.001, 'e': 0.9644288107273639}",25,0,-142.6180307730154,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
202,False,"{'a': 0.001, 'e': 0.9632674093279703}",25,0,-247.3629978788871,"{0: 14, 1: 0, 2: 4, 3: 3, 4: 4}",0
203,False,"{'a': 0.001, 'e': 0.9620695794697626}",25,0,-80.67232362523328,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
204,False,"{'a': 0.001, 'e': 0.9608342772032357}",25,0,-144.84076427893598,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
205,False,"{'a': 0.001, 'e': 0.9595604351819967}",30,0,-168.28358070267367,"{0: 15, 1: 4, 2: 7, 3: 3, 4: 1}",0
206,False,"{'a': 0.001, 'e': 0.958246962582418}",25,0,-90.57576862509367,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
207,False,"{'a': 0.001, 'e': 0.9568927450589139}",20,0,-85.33921226753166,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
208,False,"{'a': 0.001, 'e': 0.955496644737713}",25,0,-52.832871979018094,"{0: 19, 1: 1, 2: 3, 3: 2, 4: 0}",0
