trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
63,False,"{'a': 0.001, 'e': 0.9983820886013329}",20,0,-84.21555364692789,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
64,False,"{'a': 0.001, 'e': 0.9983411989198255}",20,0,-80.82845157360752,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.001, 'e': 0.9982992775885648}",30,0,-125.38585026720207,"{0: 19, 1: 4, 2: 3, 3: 3, 4: 1}",0
66,False,"{'a': 0.001, 'e': 0.9982562986690452}",20,4,-69.82943487801985,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 1}",1
67,False,"{'a': 0.001, 'e': 0.9982122355752074}",20,0,-102.11916850130824,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.001, 'e': 0.9981670610575072}",25,0,-26.762511495368926,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.001, 'e': 0.9981207471866057}",30,0,-215.85054777784444,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 5}",0
70,False,"{'a': 0.001, 'e': 0.9980732653366725}",30,0,-111.25537626589048,"{0: 21, 1: 3, 2: 2, 3: 3, 4: 1}",0
71,False,"{'a': 0.001, 'e': 0.9980245861682892}",20,0,-108.40522196256451,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
72,False,"{'a': 0.001, 'e': 0.9979746796109501}",30,0,-243.35794942696765,"{0: 16, 1: 2, 2: 7, 3: 1, 4: 4}",0
73,False,"{'a': 0.001, 'e': 0.9979235148451482}",25,0,-45.517467307137004,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
74,False,"{'a': 0.001, 'e': 0.9978710602840357}",20,0,-86.86788912577758,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
75,False,"{'a': 0.001, 'e': 0.9978172835546547}",20,0,-115.02534250513088,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.001, 'e': 0.9977621514787236}",20,0,-83.49463927795337,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
77,False,"{'a': 0.001, 'e': 0.9977056300529733}",20,0,-58.64699488703074,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
78,False,"{'a': 0.001, 'e': 0.997647684429022}",25,0,-149.027507629799,"{0: 11, 1: 6, 2: 5, 3: 2, 4: 1}",0
79,False,"{'a': 0.001, 'e': 0.9975882788927782}",20,0,-173.14912751689204,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
80,False,"{'a': 0.001, 'e': 0.9975273768433653}",30,0,-139.37774520138876,"{0: 20, 1: 0, 2: 6, 3: 3, 4: 1}",0
81,False,"{'a': 0.001, 'e': 0.9974649407715502}",20,0,-60.116898173725374,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
82,False,"{'a': 0.001, 'e': 0.9974009322376768}",20,0,-80.5368534689812,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
83,False,"{'a': 0.001, 'e': 0.9973353118490808}",20,0,-131.81316109492843,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
84,False,"{'a': 0.001, 'e': 0.997268039236989}",35,3,-112.30660798291144,"{0: 21, 1: 1, 2: 9, 3: 0, 4: 1}",1
85,False,"{'a': 0.001, 'e': 0.9971990730328789}",25,0,-63.46976915119397,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",0
86,False,"{'a': 0.001, 'e': 0.9971283708442995}",20,0,-161.1330693444756,"{0: 10, 1: 0, 2: 7, 3: 1, 4: 2}",0
87,False,"{'a': 0.001, 'e': 0.9970558892301329}",25,0,-65.94301350900457,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
88,False,"{'a': 0.001, 'e': 0.9969815836752917}",25,0,-68.6434146173413,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
89,False,"{'a': 0.001, 'e': 0.9969054085648383}",20,0,-151.84224694313028,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
90,False,"{'a': 0.001, 'e': 0.9968273171575148}",20,0,-131.26001720217397,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
91,False,"{'a': 0.001, 'e': 0.9967472615586723}",25,0,-142.1628197478999,"{0: 13, 1: 0, 2: 10, 3: 1, 4: 1}",0
92,False,"{'a': 0.001, 'e': 0.9966651926925867}",30,0,-106.65583182708332,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
93,False,"{'a': 0.001, 'e': 0.9965810602741516}",20,0,-14.890973727179547,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
94,False,"{'a': 0.001, 'e': 0.9964948127799336}",20,0,-122.9724541904462,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
95,False,"{'a': 0.001, 'e': 0.9964063974185798}",25,0,-128.27475600950268,"{0: 15, 1: 1, 2: 6, 3: 2, 4: 1}",0
96,False,"{'a': 0.001, 'e': 0.9963157601005641}",30,14,-36.06162501043033,"{0: 11, 1: 2, 2: 2, 3: 1, 4: 0}",1
97,False,"{'a': 0.001, 'e': 0.9962228454072597}",25,0,-225.72938353017665,"{0: 9, 1: 2, 2: 10, 3: 2, 4: 2}",0
98,False,"{'a': 0.001, 'e': 0.9961275965593289}",30,0,-90.02233754156553,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
99,False,"{'a': 0.001, 'e': 0.9960299553844113}",35,0,-92.6289672907525,"{0: 25, 1: 3, 2: 5, 3: 1, 4: 1}",0
100,False,"{'a': 0.001, 'e': 0.995929862284104}",20,0,-173.98789220578826,"{0: 9, 1: 3, 2: 3, 3: 3, 4: 2}",0
101,False,"{'a': 0.001, 'e': 0.995827256200217}",25,0,-128.03169533155628,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
102,False,"{'a': 0.001, 'e': 0.9957220745802952}",20,0,-102.76280706542953,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
103,False,"{'a': 0.001, 'e': 0.9956142533423873}",25,0,-195.12564524344714,"{0: 13, 1: 1, 2: 5, 3: 4, 4: 2}",0
104,False,"{'a': 0.001, 'e': 0.9955037268390589}",20,0,-63.42366302895551,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.001, 'e': 0.9953904278206259}",20,0,-63.06735113614325,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
106,False,"{'a': 0.001, 'e': 0.9952742873976046}",25,8,-64.02885114512858,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.001, 'e': 0.9951552350023601}",25,0,-107.17941240001448,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
108,False,"{'a': 0.001, 'e': 0.995033198349943}",20,0,-97.98584677004888,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
109,False,"{'a': 0.001, 'e': 0.9949081033980989}",20,0,-102.49644508345999,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
110,False,"{'a': 0.001, 'e': 0.9947798743064417}",20,0,-83.56975612507463,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
111,False,"{'a': 0.001, 'e': 0.9946484333947746}",35,0,-149.77844469440817,"{0: 23, 1: 3, 2: 6, 3: 1, 4: 2}",0
